1;Araştırma Kurum ve Birimler Rehberi (Üniversite Kesimi);Nurdoğan DİZDAROĞLU;TÜBİTAK;Ankara-1974
2;Araştırma Yöntem ve Teknikleri;Pro.Dr. Rauf ARIKAN;Nobel Yayın;Ankara-2011
3;Bilimsel Araştırma Yöntemleri - 2. Baskı;Ed. Prof. Dr. Abdurrahman TANRIÖĞEN;Anı Yayıncılık;Ankara - 2011
4;Bilimsel Araştırma  Yöntemi;Niyazi KARASAR;Nobel Yayınları;Ankara-2012
5;Bilimsel Araştırma  Yöntemleri El Kitabı;Prof. Dr. Mehmet SARAY;Boğaziçi Yayınları;İstanbul - 2016
6;Modern Araştırmacı (7. Basım);Jacques Barzun, Henry F.Graff, Ç:Fatoş Dilber;TÜBİTAK;İstanbul-1999
7;Örneklendirilmiş Bilimsel Araştırma Yöntemleri;Prof. Dr. Veysel SÖNMEZ ve Diğ.;Anı Yayıncılık;Ankara - 2011
8;Sosyal Bilimlerde Araştırma Yöntemleri Ders Notları;Engin YILDIRIM ve Diğ.;Sakarya Üniversitesi;Adapazarı-2000
9;Sorularla Örnekleme Araştırma ve Veri Derleme;;TOBB Yayınları;Ankara-2013
10;Araştırmacı Türk Çocukları;Mustafa KÖKSAL;MPM Yayınları;Ankara - 1991
11;Bilimsel Araştırma Teknikleri ve İstatistik Yöntemleri;Saim KAPTAN;Bilim Yayınları;Ankara-1982
12;İstatistiğe Giriş;E. F. Lindquist, Ç: Hasan Tan, Tuğrul Taner;Milli Eğitim Bakanlığı;İstanbul-1989
13;İktisadi Olaylara Uygulanan İstatistik  Metotları;Haluk CİLLOV;İstanbul Üniversitesi;İstanbul-1993
14;"Nicel-Nitel Araştırma Teknikleri - Sosyal Bilimlerde Araştırma Teknikleri Nicel mi? 
Nitel mi? (4. Baskı)";Dr. Elif KUŞ;Anı Yayıncılık;Ankara - 2012
15;Odalar ve Borsalar İçin Temel İstatistik Yöntemler;Dr. Atilla YARDIMCI;TOBB Yayınları;Ankara - 2008
16;"Homojen ve Fonksiyonel Bölgelerin Tespiti ve Türkiye İçin İstatistik Bölge Birimleri 
Önerisi";Ahmet ÖZTÜRK;Devlet Planlama Teşkilatı;Ankara - 2009
17;Anket;Prof.Dr.Türker BAŞ;Seçkin Yayıncılık;Ankara - 2013
18;Sosyal Bilimler İçin Veri Analizi El kitabı - Gen. 18. Baskı;Şener BÜYÜKÖZTÜRK;Pegem Akademi;Ankara - 2013
19;Paket Programları İle İstatistiksel Veri Analizi I. ve ll. Cilt - Yen. 9. Baskı;Kazım ÖZDAMAR;Nisan Kitabevi;Eskişehir - 2013
20;"Yöneylem/İşlem Araştırması1 - Optmizasyon Modelleri, Çözüm Teknikleri ve Bilgisayar 
Uygulama ve Yorumları";Prof. Dr. Sadık ÇÖKELEZ;Nobel Yayın;Ankara - 2016
21;İstatistiksel Ön Tahmin Yöntemleri;Halil KAYIM;Hacettepe Üniversitesi İBBF;Ankara - 1985
22;Çizgilerle Siber-Uzay - Yeni Başlayanlar İçin;Joanna Buick , Zoran Jevtic, Ç: Doğan Şahiner;Milliyet Yayınları;İstanbul - 1997
23;Computers Are Your Foture Complete - 11. Edition;Catherine LABerta;Pearson Education İnternationale;U.S.A. - 2011
24;Computers Tools For an İnformation Age - 8. Edition;H.L. Capron-J.A. Johnson;Pearson Education İnternationale;U.S.A. - 2004
25;Mikro İşlemciler - Temel Ders Kitabı;Mehmet HOŞGÖREN;M.E.B.;İstanbul - 2003
26;İş Sistemleri Dizaynı: İdeals Kavramı;Richard D. Irwin;Milli Prodüktivite Merkezi;Ankara - 1970
27;Sürdürülebilir Kalkınma İçin Bilişim ;Rıfat Ünal SAYMAN ve Diğ.;Vodafone - Bölgesel Çevre Merk.;Ankara - 2013
28;Akademik Bilişim Konferansı 2015 Bildirim Kitabı 1-2-3 Cilt;Ed: Doç Dr. Mustafa AKGÜL ve Diğ.;Anadolu Üniversitesi;Eskişehir - 2015
29;Anı ve Fotoğraflarla Bilişim Tarihimiz;Akdoğan ÖZKAN;Arkadaş Yayınevi;Ankara - 2005
30;Anı ve Fotoğraflarla Bilişim Tarihimiz;Akdoğan ÖZKAN;TÜBİSAD;İstanbul 2015
31;Türkiyenin Dijital Ekonomiye Dönüşümü;TÜBİSAD;Ofset Batbacılık;
32;Bilgisayardaki Adresiniz Web Sitesi - 2. Baskı;Asha Kalbag, Ç: Ceyhan Temürcü;TÜBİTAK;Ankara - 1999
33;Computer Networking - A Top-Down Approach;James F.Kurose, Keith W.Ross;Pearson Education İnternationale;U.S.A. - 2010
34;Bulut Bilişimin Kamuda Kullanımı - Dünya Örnekleri ve Türkiye İçin Öneriler;Muhammed Raşit ÖZDAŞ;Kalkınma Bakanlığı;Ankara - 2014
35;Internet Kullanıcısının Ağ Erişim Rehberi;Terana, Margaret Isaacs, Ç: Özgür Sezer;TÜBİTAK Ulakbim;Ankara-1999
36;Türkiye'de Yazılım Endüstrisinin Yapısı ve Gelişimi;Haz. Saadet İYİDOĞAN ve Diğ.;İstanbul Ticaret Odası;İstanbul-2006
37;"Küresel Rekabet Sürecinde Ankara Yazılım Sektörünün Stratejik Önemi, Potansiyeli ve 
Politika Arayışları";Haz. Dr. Murad Tiryakioğlu ve Diğ.;Ankara Kalkınma Ajansı;Ankara - 2014
38;Basıc Programlama Diline Giriş;Yekta ÜLGEN, Ayfer ECEVİT;Boğaziçi Üniversitesi;İstanbul-1985
39;Bilgisayar Kullanıyorum - 7'den 70'e Herkes İçin;;KODLAB Yayın Dağ.;İstanbul - 2012
40;Microsoft Front Page 2000 - 24 Saatte;Rogers Cadenhead, Ç: Ali Halaç;Sistem Yayıncılık;İstanbul-2000
41;Ankara'da Yayımlanan Süreli Yayınlar Kaynakçası: 1923-2015;Prof. Dr. Bülent YILMAZ ve Diğ.;Koç Üniversitesi - VEKAM;Ankara - 2016
42;Türkiye Akademik Dergiler Rehberi (2007-2008);Nazmi KOZAK;Anadolu Üniversitesi;Eskişehir-2008
43;Genelkurmay Askeri Tarih ve Stratejik Etüt Başkanlığı Süreli Yayınları Makaleler Dizini II      ;Hamit PEHLİVANLI;Genelkurmay Başkanlığı;Ankara-2000
44;Anadolu Üniversitesi'nin Atıf İndekslerindeki Yayınları (1974-2008);Der: Yusuf ÖZTÜRK, Nilgün ÖZTÜRK;Anadolu Üniversitesi;Eskişehir-2008
45;AÖF'ün 25. Yılında Anadolu Üniversitesi Açıköğretim Fakültesi ile ilgili Olarak Yapılan Çalışmalar Kaynakçası (1982-2007);"Der: Uğur DEMİRAY, Özden Candemir, 
Ayşe İnceelli";Anadolu Üniversitesi;Eskişehir-2008
46;Büyük Katalog Satıştaki Kitaplar 1991;;TÜRDAV A.Ş;İstanbul-1991
47;Yüksek Lisans ve Doktora Tez Özetleri;;Uludağ Üniversitesi;Bursa - 1992
48;Yüksek Lisans ve Doktora Tez Özetleri;;Uludağ Üniversitesi;Bursa - 1996
49;Yüksek Lisans ve Doktora Tez Özetleri;;Uludağ Üniversitesi;Bursa - 1998
50;Yüksek Lisans ve Doktora Tez Özetleri;;Uludağ Üniversitesi;Bursa - 2006
51;Atatürk Kaynakçası - Doğumunun 100. Yılında Yayınlanan Eserler - l. Cilt;Haz: Leman ŞENALP;Türk Tarih Kurumu Basımevi;Ankara-1984
52;Atatürk Kaynakçası - Doğumunun 100. Yılında Yayınlanan Eserler- ll.Cilt;Haz: Leman ŞENALP;Türk Tarih Kurumu Basımevi;Ankara-1984
53;Kıbrıs Türkleri Bibliyografyası I;Haz: Ufuk TAVKUL ve Diğ.;Başbakanlık Devlet Arşivleri Gen. Müd.;Ankara-2000
54;Kıbrıs Türkleri Bibliyografyası II;Haz: Ufuk TAVKUL ve Diğ.;Başbakanlık Devlet Arşivleri Gen. Müd.;Ankara-2000
55;"Birleşmiş Milletler Cenevre Kütüphanesinde Türkiye ve Türkler Üzerine Yazılmış Eserler 
Kataloğu";Ümran KUMCUOĞLU;Maliye Bakanlığı;Ankara-1983
56;1981 - 1985 Ekonomik Makaleler Bibliyografyası;;Maliye ve Gümrük Bakanlığı;Ankara-1986
57;1986 - 1990 Ekonomik Makaleler Bibliyografyası;;Maliye ve Gümrük Bakanlığı;Ankara-1991
58;Türkiye Aile Bibliyografyası (Kitaplar) I;;Başbakanlık Aile Araştırma Kurumu;Ankara - 1990
59;Milli Egemenlik Demokrasi ve İnsan Hakları Bibliyografisi (1840-1990) 1;;TBMM Kültür Sanat ve Yayın Kurulu;Ankara - 1992
60;Milli Egemenlik Demokrasi ve İnsan Hakları Bibliyografisi (1840-1990) 2;;TBMM Kültür Sanat ve Yayın Kurulu;Ankara - 1992
